Date;Time of day;Total[MWh]
Jan 1, 2017;12:00 AM;11,178
Jan 1, 2017;12:15 AM;11,159.25
Jan 1, 2017;12:30 AM;11,121
Jan 1, 2017;12:45 AM;11,053.5
Jan 1, 2017;1:00 AM;10,908
Jan 1, 2017;1:15 AM;10,818.75
Jan 1, 2017;1:30 AM;10,771.75
Jan 1, 2017;1:45 AM;10,703.75
Jan 1, 2017;2:00 AM;10,661.5
Jan 1, 2017;2:15 AM;10,596.5
Jan 1, 2017;2:30 AM;10,458.25
Jan 1, 2017;2:45 AM;10,348
Jan 1, 2017;3:00 AM;10,211.25
Jan 1, 2017;3:15 AM;10,133.5
Jan 1, 2017;3:30 AM;10,107.25
Jan 1, 2017;3:45 AM;10,070.75
Jan 1, 2017;4:00 AM;10,070.25
Jan 1, 2017;4:15 AM;9,981.5
Jan 1, 2017;4:30 AM;9,914.75
Jan 1, 2017;4:45 AM;9,826.25
Jan 1, 2017;5:00 AM;9,752
Jan 1, 2017;5:15 AM;9,665.5
Jan 1, 2017;5:30 AM;9,583.25
Jan 1, 2017;5:45 AM;9,553
Jan 1, 2017;6:00 AM;9,233.25
Jan 1, 2017;6:15 AM;9,377.75
Jan 1, 2017;6:30 AM;9,387.5
Jan 1, 2017;6:45 AM;9,399.5
Jan 1, 2017;7:00 AM;9,469.75
Jan 1, 2017;7:15 AM;9,483.25
Jan 1, 2017;7:30 AM;9,524.5
Jan 1, 2017;7:45 AM;9,563.5
Jan 1, 2017;8:00 AM;9,578.5
Jan 1, 2017;8:15 AM;9,558
Jan 1, 2017;8:30 AM;9,662.25
Jan 1, 2017;8:45 AM;9,869.75
Jan 1, 2017;9:00 AM;10,115
Jan 1, 2017;9:15 AM;10,377.25
Jan 1, 2017;9:30 AM;10,561.75
Jan 1, 2017;9:45 AM;10,720
Jan 1, 2017;10:00 AM;10,963.25
Jan 1, 2017;10:15 AM;11,163.75
Jan 1, 2017;10:30 AM;11,246.75
Jan 1, 2017;10:45 AM;11,376.5
Jan 1, 2017;11:00 AM;11,592.25
Jan 1, 2017;11:15 AM;11,748
Jan 1, 2017;11:30 AM;11,927.5
Jan 1, 2017;11:45 AM;11,974.75
Jan 1, 2017;12:00 PM;12,016.5
Jan 1, 2017;12:15 PM;12,051
Jan 1, 2017;12:30 PM;10,510.5
Jan 1, 2017;12:45 PM;10,319.5
Jan 1, 2017;1:00 PM;10,248.25
Jan 1, 2017;1:15 PM;10,209.25
Jan 1, 2017;1:30 PM;10,229.25
Jan 1, 2017;1:45 PM;10,136.5
Jan 1, 2017;2:00 PM;10,218
Jan 1, 2017;2:15 PM;10,298.75
Jan 1, 2017;2:30 PM;10,319.25
Jan 1, 2017;2:45 PM;10,224.75
Jan 1, 2017;3:00 PM;10,358.5
Jan 1, 2017;3:15 PM;10,382.25
Jan 1, 2017;3:30 PM;10,474.75
Jan 1, 2017;3:45 PM;10,518.5
Jan 1, 2017;4:00 PM;10,758.5
Jan 1, 2017;4:15 PM;10,788.75
Jan 1, 2017;4:30 PM;11,014.5
Jan 1, 2017;4:45 PM;11,318.25
Jan 1, 2017;5:00 PM;11,715.25
Jan 1, 2017;5:15 PM;11,966.75
Jan 1, 2017;5:30 PM;12,004.25
Jan 1, 2017;5:45 PM;12,006.25
Jan 1, 2017;6:00 PM;12,080.5
Jan 1, 2017;6:15 PM;12,115.5
Jan 1, 2017;6:30 PM;12,081.25
Jan 1, 2017;6:45 PM;12,004
Jan 1, 2017;7:00 PM;11,971.5
Jan 1, 2017;7:15 PM;11,855.75
Jan 1, 2017;7:30 PM;11,717.75
Jan 1, 2017;7:45 PM;11,567.5
Jan 1, 2017;8:00 PM;11,473.25
Jan 1, 2017;8:15 PM;11,246.25
Jan 1, 2017;8:30 PM;11,037
Jan 1, 2017;8:45 PM;10,903.75
Jan 1, 2017;9:00 PM;10,799.75
Jan 1, 2017;9:15 PM;10,683
Jan 1, 2017;9:30 PM;10,540
Jan 1, 2017;9:45 PM;10,526.25
Jan 1, 2017;10:00 PM;10,794
Jan 1, 2017;10:15 PM;10,736
Jan 1, 2017;10:30 PM;10,616.5
Jan 1, 2017;10:45 PM;10,499
Jan 1, 2017;11:00 PM;10,285.75
Jan 1, 2017;11:15 PM;10,272
Jan 1, 2017;11:30 PM;9,956.75
Jan 1, 2017;11:45 PM;9,871.75
Jan 2, 2017;12:00 AM;9,703.25
Jan 2, 2017;12:15 AM;9,571.25
Jan 2, 2017;12:30 AM;9,421.5
Jan 2, 2017;12:45 AM;9,263
Jan 2, 2017;1:00 AM;9,112
Jan 2, 2017;1:15 AM;9,002.5
Jan 2, 2017;1:30 AM;8,982.75
Jan 2, 2017;1:45 AM;8,959.75
Jan 2, 2017;2:00 AM;8,949
Jan 2, 2017;2:15 AM;8,968
Jan 2, 2017;2:30 AM;8,910.25
Jan 2, 2017;2:45 AM;8,901.75
Jan 2, 2017;3:00 AM;8,912.75
Jan 2, 2017;3:15 AM;8,877.25
Jan 2, 2017;3:30 AM;9,024.25
Jan 2, 2017;3:45 AM;9,038.25
Jan 2, 2017;4:00 AM;9,091
Jan 2, 2017;4:15 AM;9,238.5
Jan 2, 2017;4:30 AM;9,327.25
Jan 2, 2017;4:45 AM;9,398.25
Jan 2, 2017;5:00 AM;9,633.25
Jan 2, 2017;5:15 AM;9,786
Jan 2, 2017;5:30 AM;10,025
Jan 2, 2017;5:45 AM;10,341.75
Jan 2, 2017;6:00 AM;10,863.5
Jan 2, 2017;6:15 AM;11,382
Jan 2, 2017;6:30 AM;11,800.75
