Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jan 24, 2020;12:00 AM;1,225;358;776;749;0;50;2,024;3,747;3,469;2,244;32;301
Jan 24, 2020;12:15 AM;1,222;358;756;781;0;50;2,023;3,737;3,367;2,247;28;301
Jan 24, 2020;12:30 AM;1,224;349;744;799;0;50;2,023;3,739;3,270;2,245;8;300
Jan 24, 2020;12:45 AM;1,223;350;755;820;0;50;2,023;3,726;3,160;2,247;5;301
Jan 24, 2020;1:00 AM;1,220;351;729;829;0;50;2,024;3,729;3,077;2,284;20;301
Jan 24, 2020;1:15 AM;1,213;347;732;831;0;50;2,024;3,686;2,984;2,305;6;300
Jan 24, 2020;1:30 AM;1,220;346;711;853;0;50;2,024;3,665;2,930;2,290;6;300
Jan 24, 2020;1:45 AM;1,216;345;681;865;0;50;2,020;3,624;2,876;2,228;5;300
Jan 24, 2020;2:00 AM;1,219;347;662;880;0;50;2,022;3,586;2,797;2,209;6;300
Jan 24, 2020;2:15 AM;1,219;345;673;899;0;50;2,024;3,584;2,745;2,208;6;300
Jan 24, 2020;2:30 AM;1,221;343;655;936;0;50;2,022;3,579;2,705;2,205;10;300
Jan 24, 2020;2:45 AM;1,226;361;638;961;0;50;2,022;3,585;2,686;2,222;21;300
Jan 24, 2020;3:00 AM;1,225;369;641;993;0;50;2,024;3,560;2,646;2,235;25;300
Jan 24, 2020;3:15 AM;1,225;358;652;976;0;50;2,024;3,529;2,625;2,244;13;301
Jan 24, 2020;3:30 AM;1,218;375;662;982;0;50;2,023;3,466;2,660;2,234;24;301
Jan 24, 2020;3:45 AM;1,219;365;682;1,013;0;50;2,023;3,467;2,716;2,225;12;300
Jan 24, 2020;4:00 AM;1,218;363;717;1,028;0;50;2,024;3,490;2,764;2,236;11;301
Jan 24, 2020;4:15 AM;1,221;364;733;1,034;0;50;2,023;3,490;2,799;2,234;11;302
Jan 24, 2020;4:30 AM;1,220;372;750;1,045;0;50;2,023;3,494;2,854;2,244;12;301
Jan 24, 2020;4:45 AM;1,216;383;768;1,079;0;50;2,024;3,517;2,947;2,275;12;300
Jan 24, 2020;5:00 AM;1,220;373;802;1,112;0;50;2,020;3,522;3,105;2,377;10;300
Jan 24, 2020;5:15 AM;1,221;375;834;1,096;0;50;2,023;3,562;3,190;2,428;12;300
Jan 24, 2020;5:30 AM;1,223;376;839;1,130;0;50;2,024;3,575;3,340;2,438;12;300
Jan 24, 2020;5:45 AM;1,216;376;857;1,163;0;50;2,023;3,601;3,516;2,483;12;301
Jan 24, 2020;6:00 AM;1,226;356;875;1,192;0;50;2,019;3,601;3,765;2,582;55;301
Jan 24, 2020;6:15 AM;1,227;344;878;1,212;0;50;2,023;3,651;3,969;2,716;137;301
Jan 24, 2020;6:30 AM;1,220;361;909;1,262;0;50;2,023;3,677;4,099;2,790;137;303
Jan 24, 2020;6:45 AM;1,218;370;897;1,287;0;50;2,022;3,697;4,157;2,870;240;301
Jan 24, 2020;7:00 AM;1,221;354;873;1,319;0;50;2,021;3,692;4,198;2,925;269;303
Jan 24, 2020;7:15 AM;1,215;378;861;1,324;0;50;2,022;3,718;4,216;2,924;420;303
Jan 24, 2020;7:30 AM;1,217;380;851;1,348;0;50;2,023;3,730;4,227;2,922;618;309
Jan 24, 2020;7:45 AM;1,216;377;837;1,363;0;50;2,023;3,730;4,237;2,940;751;335
Jan 24, 2020;8:00 AM;1,215;377;784;1,351;13;50;2,022;3,734;4,254;2,961;1,082;341
Jan 24, 2020;8:15 AM;1,219;375;767;1,402;70;50;2,022;3,758;4,256;2,973;1,192;349
Jan 24, 2020;8:30 AM;1,221;367;738;1,394;169;50;2,022;3,758;4,255;2,964;1,262;345
Jan 24, 2020;8:45 AM;1,220;377;732;1,339;305;50;2,021;3,763;4,258;2,953;1,245;336
Jan 24, 2020;9:00 AM;1,218;384;747;1,288;449;50;2,022;3,762;4,261;2,939;1,238;318
Jan 24, 2020;9:15 AM;1,218;378;779;1,259;604;50;2,021;3,758;4,257;2,947;1,154;302
Jan 24, 2020;9:30 AM;1,229;373;804;1,259;763;50;2,021;3,758;4,253;2,947;1,035;301
Jan 24, 2020;9:45 AM;1,226;349;825;1,242;953;50;2,021;3,756;4,252;2,941;853;300
Jan 24, 2020;10:00 AM;1,227;358;801;1,220;1,139;50;2,021;3,762;4,258;2,911;772;306
Jan 24, 2020;10:15 AM;1,225;355;809;1,167;1,328;50;2,022;3,760;4,256;2,882;645;337
Jan 24, 2020;10:30 AM;1,218;348;804;1,116;1,504;50;2,022;3,757;4,222;2,848;540;368
